image_id,image_path,writer_id,pen_id
1,images/00001.png,W11,3
2,images/00002.png,-1,6
3,images/00003.png,W35,4
6,images/00006.png,-1,1
14,images/00014.png,W07,3
17,images/00017.png,W46,1
21,images/00021.png,-1,6
22,images/00022.png,W04,2
23,images/00023.png,W10,2
32,images/00032.png,W42,3
36,images/00036.png,W14,7
37,images/00037.png,-1,2
38,images/00038.png,W14,3
40,images/00040.png,W49,6
42,images/00042.png,-1,2
48,images/00048.png,W24,3
50,images/00050.png,-1,3
54,images/00054.png,-1,1
55,images/00055.png,W12,5
56,images/00056.png,W38,5
66,images/00066.png,W14,6
67,images/00067.png,W35,7
71,images/00071.png,W33,1
73,images/00073.png,-1,2
77,images/00077.png,W29,1
84,images/00084.png,W13,7
85,images/00085.png,-1,5
87,images/00087.png,W14,7
88,images/00088.png,W43,5
94,images/00094.png,-1,6
95,images/00095.png,W14,4
96,images/00096.png,W15,8
97,images/00097.png,W35,6
101,images/00101.png,W10,8
102,images/00102.png,W17,6
107,images/00107.png,W29,8
108,images/00108.png,W50,4
111,images/00111.png,W27,5
114,images/00114.png,-1,5
121,images/00121.png,W33,7
122,images/00122.png,W08,8
125,images/00125.png,W29,8
127,images/00127.png,-1,1
128,images/00128.png,-1,8
129,images/00129.png,W20,3
132,images/00132.png,W45,2
136,images/00136.png,-1,8
137,images/00137.png,-1,7
141,images/00141.png,W14,3
144,images/00144.png,W29,3
150,images/00150.png,W43,4
151,images/00151.png,W19,2
152,images/00152.png,W24,3
153,images/00153.png,W44,6
156,images/00156.png,-1,4
159,images/00159.png,-1,5
161,images/00161.png,W45,8
166,images/00166.png,W28,7
169,images/00169.png,W17,7
171,images/00171.png,W45,7
172,images/00172.png,W08,2
176,images/00176.png,W01,7
177,images/00177.png,W24,3
180,images/00180.png,W45,7
185,images/00185.png,-1,4
186,images/00186.png,W07,8
189,images/00189.png,-1,6
190,images/00190.png,-1,6
194,images/00194.png,W11,3
197,images/00197.png,W27,5
199,images/00199.png,W16,6
201,images/00201.png,-1,1
203,images/00203.png,W08,2
206,images/00206.png,-1,4
210,images/00210.png,-1,3
